id,class,start_frame,end_frame,start_xy,end_xy,turn
1812,motorcycle,682,692,"(73, 96)","(82, 93)",straight
1631,motorcycle,628,697,"(49, 125)","(86, 85)",straight
1851,car,696,698,"(127, 407)","(127, 403)",unknown
1836,motorcycle,691,700,"(576, 141)","(579, 143)",straight
1745,truck,657,702,"(430, 188)","(429, 213)",straight
1223,truck,459,708,"(135, 38)","(146, 31)",straight
1871,truck,702,709,"(508, 278)","(512, 283)",straight
390,car,98,711,"(533, 238)","(571, 267)",straight
1534,person,596,711,"(376, 411)","(392, 424)",straight
1915,car,720,725,"(519, 289)","(523, 291)",straight
1687,car,645,731,"(412, 122)","(418, 126)",straight
1874,truck,704,731,"(689, 385)","(708, 409)",straight
468,car,119,733,"(729, 382)","(754, 410)",straight
1935,bus,729,733,"(430, 208)","(430, 211)",straight
1662,motorcycle,636,734,"(271, 276)","(283, 296)",straight
1774,person,667,736,"(758, 109)","(758, 112)",straight
1321,car,489,739,"(680, 402)","(709, 420)",straight
1789,car,672,741,"(606, 189)","(607, 191)",straight
1937,truck,729,741,"(525, 293)","(532, 300)",straight
1942,truck,731,741,"(607, 190)","(607, 192)",straight
1958,truck,736,741,"(106, 372)","(103, 374)",straight
1105,car,392,748,"(216, 25)","(227, 17)",straight
376,car,94,750,"(121, 392)","(117, 405)",straight
1972,truck,742,755,"(431, 214)","(431, 221)",straight
1979,truck,744,755,"(535, 303)","(543, 310)",straight
2021,truck,760,761,"(429, 223)","(427, 224)",unknown
1930,motorcycle,727,766,"(381, 200)","(393, 212)",straight
1251,person,469,771,"(710, 246)","(718, 252)",straight
2034,bus,764,774,"(426, 225)","(426, 231)",straight
2062,truck,773,776,"(602, 289)","(605, 294)",unknown
1952,person,734,779,"(579, 108)","(580, 105)",straight
2058,person,772,780,"(578, 166)","(579, 159)",straight
2081,bus,780,780,"(428, 235)","(428, 235)",unknown
2041,car,765,787,"(549, 317)","(565, 332)",straight
2087,truck,785,787,"(430, 236)","(431, 236)",unknown
1608,person,619,797,"(124, 58)","(163, 35)",straight
1633,motorcycle,628,797,"(311, 311)","(337, 330)",straight
2040,person,765,799,"(693, 222)","(693, 223)",straight
2078,car,778,799,"(171, 17)","(173, 13)",straight
2121,truck,799,809,"(436, 243)","(439, 251)",straight
836,car,262,811,"(301, 407)","(305, 422)",straight
2095,person,790,811,"(576, 171)","(573, 172)",straight
1714,motorcycle,652,816,"(331, 366)","(360, 384)",straight
2022,car,760,820,"(21, 104)","(25, 92)",straight
2168,motorcycle,817,820,"(272, 265)","(275, 261)",unknown
2180,truck,823,825,"(645, 319)","(649, 321)",unknown
2187,motorcycle,826,828,"(370, 410)","(372, 411)",unknown
2116,truck,797,829,"(577, 342)","(605, 363)",straight
2195,person,831,833,"(282, 268)","(282, 271)",unknown
1688,person,645,834,"(710, 279)","(724, 289)",straight
1594,car,613,835,"(683, 259)","(701, 266)",straight
2183,car,824,836,"(14, 122)","(27, 114)",straight
1374,car,511,840,"(208, 27)","(221, 20)",straight
1900,person,714,845,"(357, 397)","(389, 416)",straight
2192,bus,829,845,"(443, 264)","(446, 272)",straight
2238,bus,851,851,"(446, 278)","(446, 278)",unknown
1980,person,744,853,"(733, 254)","(744, 255)",straight
2252,bus,856,856,"(447, 281)","(447, 281)",unknown
2101,person,792,862,"(376, 389)","(407, 423)",straight
1029,car,367,865,"(63, 411)","(55, 425)",straight
2160,car,814,866,"(52, 84)","(70, 81)",straight
2256,truck,856,869,"(679, 347)","(693, 359)",straight
2271,person,863,871,"(223, 184)","(221, 186)",straight
17,car,1,880,"(531, 405)","(565, 422)",straight
2214,car,842,881,"(265, 79)","(260, 84)",straight
