id,class,start_frame,end_frame,start_xy,end_xy,turn
1147,motorcycle,166,168,"(163, 341)","(168, 336)",unknown
1154,bus,167,168,"(464, 63)","(464, 63)",unknown
1151,bus,166,169,"(481, 112)","(481, 112)",unknown
1162,bus,169,169,"(449, 330)","(449, 330)",unknown
70,truck,1,170,"(223, 60)","(222, 60)",turn_0
931,car,172,172,"(187, 310)","(187, 310)",unknown
1002,car,148,173,"(284, 34)","(275, 28)",turn_0
1135,motorcycle,164,173,"(109, 116)","(109, 117)",turn_0
1099,car,159,174,"(8, 232)","(18, 226)",turn_0
1048,bus,153,175,"(287, 344)","(283, 351)",turn_0
1184,bicycle,172,175,"(88, 246)","(89, 244)",unknown
1205,bus,175,175,"(333, 82)","(333, 82)",unknown
1050,truck,153,178,"(315, 36)","(308, 28)",turn_0
1227,truck,178,179,"(283, 351)","(283, 350)",unknown
1246,motorcycle,181,182,"(20, 405)","(26, 412)",unknown
1020,motorcycle,150,184,"(612, 187)","(614, 190)",turn_1
1274,truck,184,186,"(14, 138)","(14, 137)",unknown
686,motorcycle,81,189,"(594, 258)","(583, 295)",turn_1
1303,motorcycle,187,189,"(132, 328)","(138, 323)",unknown
6,car,1,191,"(745, 411)","(745, 426)",turn_1
39,truck,1,191,"(334, 89)","(331, 74)",turn_0
1307,truck,188,193,"(448, 332)","(448, 333)",turn_1
1202,bus,174,194,"(474, 233)","(473, 229)",turn_1
1284,motorcycle,184,194,"(616, 191)","(613, 190)",turn_1
1310,car,189,195,"(342, 378)","(341, 378)",turn_0
1352,bus,195,196,"(30, 404)","(32, 403)",unknown
1149,motorcycle,166,197,"(540, 374)","(513, 414)",turn_1
1193,car,173,197,"(388, 316)","(387, 320)",turn_1
1169,truck,170,200,"(229, 58)","(223, 60)",turn_0
1197,bicycle,174,200,"(7, 356)","(13, 341)",turn_0
1212,car,175,205,"(317, 404)","(315, 405)",turn_0
1437,truck,205,205,"(23, 202)","(23, 202)",unknown
960,motorcycle,141,207,"(528, 389)","(501, 419)",turn_1
1251,truck,181,207,"(31, 220)","(64, 201)",turn_0
1446,bus,206,207,"(465, 66)","(465, 66)",unknown
1455,truck,207,207,"(264, 20)","(264, 20)",unknown
1270,car,183,208,"(536, 232)","(534, 233)",turn_1
1444,motorcycle,206,208,"(26, 399)","(35, 397)",unknown
1461,motorcycle,208,208,"(501, 417)","(501, 417)",unknown
1241,car,179,209,"(648, 74)","(649, 75)",turn_1
1460,motorcycle,208,209,"(154, 340)","(157, 338)",unknown
1267,truck,183,210,"(283, 348)","(280, 351)",turn_0
1494,bicycle,212,212,"(101, 237)","(101, 237)",unknown
1335,car,193,213,"(27, 407)","(85, 374)",turn_0
1496,truck,212,213,"(507, 310)","(507, 312)",unknown
1037,motorcycle,152,214,"(108, 348)","(195, 286)",turn_0
1479,bus,210,214,"(465, 66)","(464, 66)",turn_1
1280,car,184,215,"(360, 110)","(360, 97)",turn_0
1487,bus,211,215,"(263, 20)","(262, 19)",turn_0
1491,truck,211,216,"(448, 333)","(448, 333)",turn_1
1432,bicycle,216,219,"(13, 344)","(10, 350)",unknown
1277,motorcycle,184,224,"(246, 267)","(296, 211)",turn_0
1477,bus,210,224,"(50, 76)","(47, 81)",turn_0
1410,car,201,225,"(486, 183)","(486, 184)",turn_1
1492,car,211,225,"(315, 405)","(313, 406)",turn_0
14,car,1,226,"(245, 4)","(239, 3)",turn_0
726,car,90,226,"(664, 215)","(664, 214)",turn_1
1596,car,227,228,"(315, 101)","(315, 100)",unknown
1511,motorcycle,214,231,"(612, 188)","(613, 191)",turn_1
1434,bus,204,234,"(490, 71)","(492, 71)",turn_1
1555,car,219,235,"(14, 136)","(14, 136)",turn_0
1609,bus,231,235,"(140, 335)","(149, 327)",unknown
1103,motorcycle,160,238,"(700, 194)","(711, 198)",turn_1
1565,motorcycle,220,238,"(285, 104)","(286, 103)",turn_0
1043,car,152,240,"(515, 246)","(518, 249)",turn_1
1552,car,218,241,"(339, 382)","(337, 385)",turn_0
1650,truck,240,241,"(163, 317)","(165, 314)",unknown
1597,bus,227,242,"(342, 284)","(339, 286)",turn_0
1657,car,242,242,"(36, 189)","(36, 189)",unknown
81,bus,1,243,"(326, 55)","(313, 39)",turn_0
1530,truck,216,244,"(280, 351)","(279, 349)",turn_0
1672,truck,245,246,"(339, 286)","(339, 286)",unknown
1610,car,231,247,"(77, 185)","(76, 176)",turn_0
1649,bus,240,248,"(465, 68)","(465, 69)",turn_1
1659,car,242,250,"(223, 60)","(223, 60)",turn_0
965,car,142,251,"(86, 51)","(87, 54)",turn_0
1102,car,160,253,"(431, 97)","(433, 99)",turn_1
1667,bus,243,253,"(408, 244)","(408, 245)",turn_1
1570,bus,221,254,"(322, 44)","(310, 33)",turn_0
1713,motorcycle,252,254,"(122, 399)","(129, 398)",unknown
1745,truck,254,254,"(38, 185)","(38, 185)",unknown
1546,bicycle,217,256,"(23, 345)","(33, 338)",turn_0
1724,car,252,257,"(763, 231)","(763, 231)",turn_1
89,bus,1,258,"(296, 59)","(293, 55)",turn_0
1295,motorcycle,186,260,"(228, 291)","(304, 235)",turn_0
1764,truck,257,260,"(38, 184)","(38, 183)",unknown
55,car,1,263,"(411, 219)","(410, 221)",turn_1
44,truck,1,264,"(322, 79)","(318, 64)",turn_0
1721,truck,252,264,"(280, 350)","(280, 350)",turn_0
1819,truck,264,264,"(38, 182)","(38, 182)",unknown
1838,car,267,267,"(755, 379)","(755, 379)",unknown
